productId,name,category,originalPrice,stock,version
PRD-00001,Nồi cơm điện GD-0001,GIA_DUNG,3432000.0,890,1
PRD-00002,Kính mát TT-0002,THOI_TRANG,3553000.0,194,1
PRD-00003,Quạt điện GD-0003,GIA_DUNG,1875000.0,364,1
PRD-00004,Quạt điện GD-0004,GIA_DUNG,3822000.0,570,1
PRD-00005,Bộ chăn ga GD-0005,GIA_DUNG,2211000.0,577,1
PRD-00006,Kem dưỡng ẩm LD-0006,LAM_DEP,4002000.0,362,1
PRD-00007,Bánh tráng cuốn TP-0007,THUC_PHAM,1088000.0,931,1
PRD-00008,Vợt cầu lông TH-0008,THE_THAO,835000.0,326,1
PRD-00009,Bóng rổ TH-0009,THE_THAO,2877000.0,139,1
PRD-00010,Chuột gaming DT-0010,DIEN_TU,4003000.0,742,1
PRD-00011,Áo thun nam TT-0011,THOI_TRANG,4098000.0,277,1
PRD-00012,Khô bò miếng TP-0012,THUC_PHAM,449000.0,202,1
PRD-00013,Nón bucket TT-0013,THOI_TRANG,1494000.0,110,1
PRD-00014,Hộp đựng thực phẩm GD-0014,GIA_DUNG,984000.0,950,1
PRD-00015,Cà phê Arabica TP-0015,THUC_PHAM,1833000.0,719,1
PRD-00016,Găng tay gym TH-0016,THE_THAO,3495000.0,25,1
PRD-00017,Webcam HD DT-0017,DIEN_TU,4145000.0,364,1
PRD-00018,Tinh dầu dưỡng tóc LD-0018,LAM_DEP,3954000.0,78,1
PRD-00019,Bộ cọ trang điểm LD-0019,LAM_DEP,1020000.0,116,1
PRD-00020,Tinh dầu dưỡng tóc LD-0020,LAM_DEP,2433000.0,114,1
PRD-00021,Camera hành trình DT-0021,DIEN_TU,3183000.0,249,1
PRD-00022,Váy liền TT-0022,THOI_TRANG,398000.0,782,1
PRD-00023,Bình giữ nhiệt GD-0023,GIA_DUNG,4365000.0,113,1
PRD-00024,Loa di động DT-0024,DIEN_TU,1951000.0,653,1
PRD-00025,Webcam HD DT-0025,DIEN_TU,4548000.0,94,1
PRD-00026,Webcam HD DT-0026,DIEN_TU,1460000.0,205,1
PRD-00027,Sữa hạt TP-0027,THUC_PHAM,1563000.0,466,1
PRD-00028,Ấm siêu tốc GD-0028,GIA_DUNG,3486000.0,219,1
PRD-00029,Mũ bơi TH-0029,THE_THAO,185000.0,463,1
PRD-00030,Găng tay gym TH-0030,THE_THAO,2324000.0,475,1
PRD-00031,Tương ớt TP-0031,THUC_PHAM,4704000.0,505,1
PRD-00032,Áo thun nam TT-0032,THOI_TRANG,4889000.0,340,1
PRD-00033,Nước mắm truyền thống TP-0033,THUC_PHAM,3014000.0,552,1
PRD-00034,Camera hành trình DT-0034,DIEN_TU,1834000.0,316,1
PRD-00035,Gối ngủ GD-0035,GIA_DUNG,4501000.0,889,1
PRD-00036,Kem dưỡng ẩm LD-0036,LAM_DEP,1424000.0,55,1
PRD-00037,Giá treo quần áo GD-0037,GIA_DUNG,2242000.0,847,1
